cumulative frequency / %,classes / unit of length
1.370000000000000107e+00,1.703000000000000114e+01
2.740000000000000213e+00,1.857999999999999829e+01
4.110000000000000320e+00,2.785999999999999943e+01
5.480000000000000426e+00,3.250999999999999801e+01
6.849999999999999645e+00,3.406000000000000227e+01
8.220000000000000639e+00,3.560000000000000142e+01
9.589999999999999858e+00,3.870000000000000284e+01
1.096000000000000085e+01,4.025000000000000000e+01
1.233000000000000007e+01,4.179999999999999716e+01
1.369999999999999929e+01,4.489000000000000057e+01
1.644000000000000128e+01,4.643999999999999773e+01
1.780999999999999872e+01,4.799000000000000199e+01
1.917999999999999972e+01,4.953999999999999915e+01
2.192000000000000171e+01,5.107999999999999829e+01
2.466000000000000014e+01,5.417999999999999972e+01
2.739999999999999858e+01,5.728000000000000114e+01
2.876999999999999957e+01,5.882000000000000028e+01
3.288000000000000256e+01,6.036999999999999744e+01
3.561999999999999744e+01,6.192000000000000171e+01
3.835999999999999943e+01,6.346999999999999886e+01
4.110000000000000142e+01,6.501999999999999602e+01
4.384000000000000341e+01,6.656000000000000227e+01
4.521000000000000085e+01,6.810999999999999943e+01
5.067999999999999972e+01,6.965999999999999659e+01
5.204999999999999716e+01,7.276000000000000512e+01
5.342000000000000171e+01,7.429999999999999716e+01
5.615999999999999659e+01,7.895000000000000284e+01
5.889999999999999858e+01,8.050000000000000000e+01
6.164000000000000057e+01,8.204000000000000625e+01
6.300999999999999801e+01,8.359000000000000341e+01
6.575000000000000000e+01,8.514000000000000057e+01
6.985999999999999943e+01,8.823999999999999488e+01
7.123000000000000398e+01,9.132999999999999829e+01
7.396999999999999886e+01,9.287999999999999545e+01
7.534000000000000341e+01,9.443000000000000682e+01
7.807999999999999829e+01,9.598000000000000398e+01
7.945000000000000284e+01,9.751999999999999602e+01
8.081999999999999318e+01,9.906999999999999318e+01
8.356000000000000227e+01,1.006200000000000045e+02
8.493000000000000682e+01,1.021700000000000017e+02
8.629999999999999716e+01,1.052600000000000051e+02
8.767000000000000171e+01,1.068100000000000023e+02
8.904000000000000625e+01,1.099099999999999966e+02
9.040999999999999659e+01,1.114599999999999937e+02
9.178000000000000114e+01,1.145499999999999972e+02
9.315000000000000568e+01,1.160999999999999943e+02
9.589000000000000057e+01,1.176500000000000057e+02
9.726000000000000512e+01,1.192000000000000028e+02
1.000000000000000000e+02,1.269399999999999977e+02
